,AreaCode,Keyword,State,City,Impression Share (IS),Clicks,# Call Conversions,# Invoiced,# of Payments,$ Ad Cost,$ Invoiced,$ Received,Latitude,Longitude,CPC,$ Revenue / $ Ad Cost,$ Paid / $ Invoiced
36,361,residential structural engineer inspection,Texas,Shiner,100.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,29.453328999999997,-97.191865,13.0,0.0,0.0
37,361,structural calculations,Texas,Corpus-Christi,100.0,2.0,0.0,0.0,0.0,9.96,0.0,0.0,27.809478000000002,-97.522896,4.98,0.0,0.0
38,361,structural design,Texas,Victoria,100.0,1.0,0.0,0.0,0.0,2.34,0.0,0.0,28.804947,-96.984711,2.34,0.0,0.0
39,361,structural engineer,Texas,Victoria,96.00285714285714,20.0,0.0,2.0,0.0,138.21,1200.0,0.0,28.481441999999998,-97.13450971428571,6.910500000000001,0.0,0.0
40,361,structural engineer near me,Texas,Victoria,100.0,1.0,0.0,0.0,0.0,12.07,0.0,0.0,28.804947,-96.984711,12.07,0.0,0.0
41,361,wind inspection,Texas,Port-O-Connor,100.0,3.0,0.0,0.0,0.0,24.189999999999998,0.0,0.0,28.03475566666667,-97.07264766666667,8.063333333333333,0.0,0.0
42,361,windstorm inspection,Texas,Victoria,98.6725,30.0,3.0,1.0,0.0,148.83999999999997,500.0,0.0,28.178378916666663,-97.26068008333333,4.961333333333332,0.0,0.0
43,409,civil structural engineer,Texas,Galveston,100.0,1.0,0.0,0.0,0.0,8.11,0.0,0.0,29.310534999999998,-94.775768,8.11,0.0,0.0
44,409,find a structural engineer,Texas,Beaumont,100.0,1.0,0.0,0.0,0.0,12.9,0.0,0.0,30.073053,-94.105486,12.9,0.0,0.0
45,409,foundation cracks,Texas,Beaumont,100.0,1.0,0.0,0.0,0.0,12.55,0.0,0.0,30.086269,-94.128303,12.55,0.0,0.0
46,409,foundation engineering,Texas,Texas-City,96.0,5.0,2.0,1.0,0.0,36.5,550.0,0.0,29.957930999999995,-94.3003248,7.3,0.0,0.0
47,409,home structural engineer,Texas,Beaumont,100.0,1.0,0.0,0.0,0.0,9.94,0.0,0.0,30.146124,-94.160613,9.94,0.0,0.0
48,409,resident engineer,Texas,Galveston,100.0,2.0,0.0,1.0,0.0,21.03,550.0,0.0,29.338862,-94.9151145,10.515,0.0,0.0
49,409,residential engineer near me,Texas,Port-Arthur,55.0,1.0,0.0,1.0,0.0,8.95,800.0,0.0,29.881613,-93.94085799999999,8.95,0.0,0.0
50,409,residential structural engineer,Texas,Port-Neches,100.0,2.0,1.0,1.0,0.0,19.16,900.0,0.0,29.942,-94.058511,9.58,0.0,0.0
51,409,structural design,Texas,Groves,100.0,1.0,0.0,1.0,0.0,4.69,850.0,0.0,29.947515999999997,-93.918571,4.69,0.0,0.0
52,409,structural engineer,Texas,Woodville,93.08818181818184,58.0,9.0,11.0,1.0,370.04999999999995,8050.0,500.0,29.824411590909087,-94.42270354545454,6.380172413793103,1.3511687609782463,0.062111801242236024
53,409,structural engineer fees,Texas,Port-Neches,100.0,1.0,0.0,1.0,0.0,7.99,900.0,0.0,29.985971000000003,-93.95584699999999,7.99,0.0,0.0
54,409,structural engineer inspection,Texas,Santa-Fe,100.0,1.0,0.0,3.0,0.0,11.01,1642.5,0.0,29.364468,-95.131078,11.01,0.0,0.0
55,409,structural engineer inspection cost,Texas,Port-Arthur,100.0,1.0,0.0,1.0,0.0,3.37,800.0,0.0,29.881613,-93.94085799999999,3.37,0.0,0.0
56,409,structural engineer inspection near me,Texas,Bridge-City,100.0,1.0,1.0,0.0,0.0,12.63,0.0,0.0,30.014440000000004,-93.828241,12.63,0.0,0.0
57,409,structural engineer near me,Texas,Texas-City,93.125,5.0,0.0,1.0,0.0,46.9,550.0,0.0,29.86453225,-94.286742,9.379999999999999,0.0,0.0
58,409,structural engineering companies,Texas,Galveston,100.0,1.0,0.0,0.0,0.0,7.96,0.0,0.0,29.310534999999998,-94.775768,7.96,0.0,0.0
59,409,structural inspection,Texas,Beaumont,100.0,1.0,0.0,0.0,0.0,7.6,0.0,0.0,30.086269,-94.128303,7.6,0.0,0.0
60,409,wind inspection,Texas,Texas-City,100.0,1.0,1.0,0.0,0.0,2.49,0.0,0.0,29.391396999999998,-94.920149,2.49,0.0,0.0
61,409,windstorm inspection,Texas,Santa-Fe,97.94421052631579,42.0,8.0,11.0,1.0,223.14999999999998,8300.0,500.0,29.778755263157894,-94.40551336842104,5.313095238095237,2.2406453058480844,0.060240963855421686
62,469,american structural engineers,Texas,Addison,100.0,1.0,0.0,0.0,0.0,5.11,0.0,0.0,32.960046999999996,-96.838522,5.11,0.0,0.0
63,469,best structural engineer,Texas,Frisco,70.0,1.0,0.0,2.0,0.0,7.72,450.0,0.0,33.163129999999995,-96.790193,7.72,0.0,0.0
64,469,best structural engineering firms,Texas,Mckinney,100.0,1.0,0.0,0.0,0.0,12.69,0.0,0.0,33.179984000000005,-96.585712,12.69,0.0,0.0
65,469,forensic structural engineer,Texas,Mckinney,100.0,4.0,0.0,12.0,0.0,47.660000000000004,8510.0,0.0,33.0753515,-96.695897,11.915000000000001,0.0,0.0
66,469,foundation cracks,Texas,Flower-Mound,85.9809090909091,22.0,1.0,7.0,0.0,266.98,2900.0,0.0,32.97645263636364,-96.7346356363636,12.135454545454547,0.0,0.0
67,469,foundation engineer inspection,Texas,Flower-Mound,100.0,8.0,0.0,5.0,1.0,99.96000000000001,2400.0,450.0,32.88677285714285,-96.84178671428572,12.495000000000001,4.501800720288115,0.1875
68,469,foundation engineering,Texas,Addison,86.73214285714286,63.0,6.5,15.0,2.0,723.77,6950.0,950.0,32.899483999999994,-96.77936342857143,11.488412698412699,1.3125716733216353,0.1366906474820144
69,469,foundation structural engineer,Texas,Lewisville,100.0,4.0,1.0,8.0,1.0,50.11,5400.0,400.0,33.03198925,-96.7344975,12.5275,7.982438635002993,0.07407407407407407
70,469,freelance structural engineer,Texas,Dallas,100.0,1.0,0.0,0.0,0.0,3.35,0.0,0.0,32.902679,-96.79339300000001,3.35,0.0,0.0
71,469,home inspection,Texas,Carrollton,64.33,21.0,2.0,0.0,0.0,237.6,0.0,0.0,32.89999355555556,-96.76437377777776,11.314285714285713,0.0,0.0
72,469,home inspection class,Texas,Allen,92.0,6.0,0.0,0.0,0.0,63.39,0.0,0.0,33.0133064,-96.784353,10.565,0.0,0.0
73,469,home inspection engineers,Texas,Frisco,100.0,4.0,3.0,3.0,0.0,50.33,750.0,0.0,32.907243,-96.68195625,12.5825,0.0,0.0
74,469,home inspection services,Texas,Frisco,100.0,1.0,0.0,0.0,0.0,6.94,0.0,0.0,33.163129999999995,-96.790193,6.94,0.0,0.0
75,469,home inspector,Texas,Carrollton,65.53470588235294,19.0,3.0,0.0,0.0,210.57,0.0,0.0,32.85699082352941,-96.81138894117647,11.082631578947368,0.0,0.0
76,469,home inspectors near me,Texas,Frisco,71.46000000000001,4.0,0.0,0.0,0.0,43.480000000000004,0.0,0.0,33.000866,-96.70314499999999,10.870000000000001,0.0,0.0
77,469,home structural engineer,Texas,Addison,100.0,3.0,1.0,0.0,0.0,25.52,0.0,0.0,32.95146233333333,-96.75184233333333,8.506666666666666,0.0,0.0
78,469,house inspection,Texas,Allen,56.223333333333336,3.0,0.0,0.0,0.0,40.66,0.0,0.0,32.97794433333333,-96.85800166666667,13.553333333333333,0.0,0.0
79,469,house structure inspection,Texas,Flower-Mound,100.0,1.0,0.0,0.0,0.0,12.77,0.0,0.0,33.032709999999994,-97.06007,12.77,0.0,0.0
80,469,i need a structural engineer,Texas,Garland,100.0,1.0,0.0,0.0,0.0,9.74,0.0,0.0,32.880196000000005,-96.651555,9.74,0.0,0.0
81,469,licensed structural engineer,Texas,Dallas,100.0,1.0,0.0,0.0,0.0,8.59,0.0,0.0,32.660862,-96.840948,8.59,0.0,0.0
82,469,local structural engineer,Texas,Palmer,100.0,1.0,0.0,0.0,0.0,12.57,0.0,0.0,32.439871000000004,-96.678051,12.57,0.0,0.0
83,469,local structural engineer near me,Texas,Forney,100.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,32.743178,-96.4549,9.0,0.0,0.0
84,469,pe civil structural,Texas,Arlington,100.0,1.0,0.0,0.0,0.0,12.63,0.0,0.0,32.664590000000004,-97.096476,12.63,0.0,0.0
85,469,professional structural engineer,Texas,Mckinney,100.0,3.0,0.0,1.0,0.0,32.52,550.0,0.0,32.95691,-96.86812666666667,10.840000000000002,0.0,0.0
86,469,resident engineer,Texas,Little-Elm,76.11,3.0,1.0,4.0,2.0,21.88,1950.0,950.0,32.974586666666674,-96.81291133333333,7.293333333333333,43.41864716636198,0.48717948717948717
87,469,residential engineer near me,Texas,Mesquite,100.0,2.0,1.0,0.0,0.0,17.799999999999997,0.0,0.0,32.833332,-96.741575,8.899999999999999,0.0,0.0
88,469,residential foundation engineer,Texas,Addison,92.5,3.0,0.0,4.0,0.0,34.91,1650.0,0.0,32.93007766666667,-96.80490066666668,11.636666666666665,0.0,0.0
89,469,residential structural engineer,Texas,Addison,86.71333333333334,11.0,1.0,21.0,2.0,118.47999999999998,11210.0,900.0,33.02049322222222,-96.80223455555557,10.770909090909088,7.5962187711006095,0.08028545941123996
90,469,residential structural engineer inspection,Texas,Dallas,100.0,1.0,0.0,0.0,0.0,12.27,0.0,0.0,32.786796,-96.819971,12.27,0.0,0.0
91,469,residential structural engineer inspection near me,Texas,Royse-City,100.0,1.0,0.33,1.0,1.0,12.85,450.0,450.0,32.942051,-96.31166,12.85,35.01945525291829,1.0
92,469,residential structural engineer near me,Texas,The-Colony,100.0,1.0,0.0,8.0,1.0,12.95,3650.0,550.0,33.070183,-96.917772,12.95,42.47104247104247,0.1506849315068493
93,469,residential structural inspection,Texas,Flower-Mound,100.0,3.0,0.0,1.0,1.0,35.18000000000001,450.0,450.0,32.98124466666666,-96.65080033333334,11.726666666666668,12.791358726549173,1.0
94,469,small structural engineering firms,Texas,Sachse,100.0,1.0,0.0,0.0,0.0,12.62,0.0,0.0,32.968973,-96.580671,12.62,0.0,0.0
95,469,structural analysis engineer,Texas,Dallas,67.14,1.0,0.0,0.0,0.0,12.42,0.0,0.0,32.770635,-96.746362,12.42,0.0,0.0
96,469,structural contractors,Texas,Carrollton,100.0,1.0,0.0,0.0,0.0,10.99,0.0,0.0,33.050164,-96.87454,10.99,0.0,0.0
